strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year,hour_ct,note
raschke_ema9_ref,LONG,2022-07-19 15:50:00+00:00,12163.25,12158.75,12172.25,2022-07-19 15:51:00+00:00,12172.25,target,18.0,36,1.0,2022,10,raschke LONG pb=12173.50 ema=12162.49
raschke_baseline,LONG,2022-07-19 18:50:00+00:00,12232.75,12223.5,12251.25,2022-07-19 18:53:00+00:00,12251.25,target,37.0,74,3.0,2022,13,raschke LONG pb=12249.25 ema=12236.62
raschke_strict_trend,LONG,2022-07-19 18:50:00+00:00,12232.75,12223.5,12251.25,2022-07-19 18:53:00+00:00,12251.25,target,37.0,74,3.0,2022,13,raschke LONG pb=12249.25 ema=12236.62
raschke_loose_trend,LONG,2022-07-19 18:50:00+00:00,12232.75,12223.5,12251.25,2022-07-19 18:53:00+00:00,12251.25,target,37.0,74,3.0,2022,13,raschke LONG pb=12249.25 ema=12236.62
raschke_1.5r_target,LONG,2022-07-19 18:50:00+00:00,12232.75,12223.5,12246.625,2022-07-19 18:52:00+00:00,12246.625,target,28.0,56,2.0,2022,13,raschke LONG pb=12249.25 ema=12236.62
raschke_3r_target,LONG,2022-07-19 18:50:00+00:00,12232.75,12223.5,12260.5,2022-07-19 19:06:00+00:00,12260.5,target,55.5,111,16.0,2022,13,raschke LONG pb=12249.25 ema=12236.62
raschke_long_only,LONG,2022-07-19 18:50:00+00:00,12232.75,12223.5,12251.25,2022-07-19 18:53:00+00:00,12251.25,target,37.0,74,3.0,2022,13,raschke LONG pb=12249.25 ema=12236.62
raschke_ema9_ref,LONG,2022-07-19 19:40:00+00:00,12260.25,12257.0,12266.75,2022-07-19 19:42:00+00:00,12266.75,target,13.0,26,2.0,2022,14,raschke LONG pb=12268.75 ema=12259.73
raschke_loose_trend,LONG,2022-07-20 14:05:00+00:00,12285.75,12276.0,12305.25,2022-07-20 14:06:00+00:00,12276.0,stop,-19.5,-39,1.0,2022,9,raschke LONG pb=12302.75 ema=12291.37
raschke_ema9_ref,LONG,2022-07-20 15:25:00+00:00,12450.5,12441.25,12469.0,2022-07-20 15:29:00+00:00,12469.0,target,37.0,74,4.0,2022,10,raschke LONG pb=12459.25 ema=12448.09
raschke_loose_trend,SHORT,2022-07-20 17:45:00+00:00,12428.0,12437.75,12408.5,2022-07-20 17:49:00+00:00,12408.5,target,39.0,78,4.0,2022,12,raschke SHORT pb=12420.25 ema=12430.20
raschke_ema9_ref,LONG,2022-07-20 18:45:00+00:00,12452.0,12443.75,12468.5,2022-07-20 18:53:00+00:00,12443.75,stop,-16.5,-33,8.0,2022,13,raschke LONG pb=12462.50 ema=12444.92
raschke_ema9_ref,LONG,2022-07-21 16:55:00+00:00,12600.0,12594.0,12612.0,2022-07-21 17:00:00+00:00,12612.0,target,24.0,48,5.0,2022,11,raschke LONG pb=12606.00 ema=12595.10
raschke_ema9_ref,SHORT,2022-07-22 18:00:00+00:00,12383.0,12388.5,12372.0,2022-07-22 18:02:00+00:00,12372.0,target,22.0,44,2.0,2022,13,raschke SHORT pb=12372.00 ema=12385.36
